Year,Month Day,Hour,Temperature,Pressure,Fahrenheit
2013,1 1,0,-20 9965,-4.0,
2013,1 1,1,-24 9961,-11.2,
2013,1 1,2,-22 9967,-7.6,
2013,1 1,3,-39 9976,-38.2,
2013,1 1,4,-21 9965,-5.8,
2013,1 1,5,-21 9966,-5.8,
2013,1 1,6,-18 9975,-0.4,
2013,1 1,7,-17 9983,1.4,
2013,1 1,8,-16 9977,3.2,
2013,1 1,9,-21 9980,-5.8,
2013,1 1,10,-18 9984,-0.4,
2013,1 1,11,-17 9976,1.4,
2013,1 1,12,-15 9983,5.0,
2013,1 1,13,-12 9982,10.4,
2013,1 1,14,-10 9982,14.0,
2013,1 1,15,-9 9981,15.8,
2013,1 1,16,-9 9971,15.8,
2013,1 1,17,-8 9978,17.6,
2013,1 1,18,-8 9984,17.6,
2013,1 1,19,-9 9984,15.8,
2013,1 1,20,-9 9981,15.8,
2013,1 1,21,-6 9984,21.2,
2013,1 1,22,-7 9986,19.4,
2013,1 1,23,-7 9991,19.4,
